Dharmarayaswamy Temple Ward,Acquired public road.
Basavanapura,KATHA TRANSFER TO H.S.SUDHIR NOT UPDATED IN COMPUTER RECORDS
Katriguppe,building Constructing on the Foot Path
Karisandra,"Open Drainage in 27th cross, Hunase mara signal, BSK 2nd stage"
Sarvagna Nagar,Tax receipt for 2018-2019
Bommanahalli,Problem issueing death certificate of my father
Vidyaranyapura,Garbage
Kempegowda,Maintence of Road
Banasawadi,Park fench broken at Bhuvanagirinagar Banasawadi
Mangammanapalya,Change of Ward Name
Visvesvarapuram,Stones not cleared & on that people dumping graddage
Mathikere,CORRUPTION IN BBMP ARO MR RAMDAS ..... REG. ISSUE OF KHATHA 9 MONTHS AFTER SUBMITTING FORMS
Konanakunte,Garbage disposal/ serious garbage (plastic) burning issue
Konanakunte,Garbage disposal/ serious garbage (plastic) burning issue
HSR Layout,Clear fallen tree branches
Vishwanathnagenahalli,Sewage water on road and storm drain
Shanthala Nagar,Sewage line Block
Gayathri Nagar,Sewage line blockage
Begur,Garbage Collection Vehicle and person did not come since last 14 days
Ejipura,Mosquito's in Koramangala 4th Block S.T Bed Layout
Horamavu,Roads are damaged badly
Arakere,Dumping of Garbage by nieghbours on a vacant property
Arakere,Dumping of Garbage by nieghbours on a vacant property
Hanumantha Nagar,"Complaint on contractor, who has not cleared the dust after road repair."
Basaveshwara Nagar,Road Sweepers not cleaning and from 3 days street lamps not working
Jeevanbhima Nagar,Manhole waste removed and placed in front of the residential main gate
Gangenahalli,Sanitary Chamber Blocked In Ganga Nagar 4th Main Bangalore 560032
Dommalur,BDA land Encroachment in SY -25:1 around 6500 square feet
Dommalur,BDA land Encroachment in SY -25:1 around 6500 square feet
Dommalur,BDA land Encroachment in SY -25:1 around 6500 square feet
Dommalur,BDA land Encroachment in SY -25:1 around 6500 square feet
J.P.Nagar,"Leakage of the Drainage water right opposite the house on the 15th, cross, 29th Main, J P nagar 1st Phase"
Sarvagna Nagar,Cut tree not removed
Peenya Industrial Area,Garbage
Bommanahalli,Tampering the concreted road
Sarvagna Nagar,garbage collection
Gurappanapalya,Lane drainage construction
Hoodi,"Amrutha Sarovar Apartment, Belathur"
Padmanabha Nagar,Tree leaves not being collected since last one month
Padmanabha Nagar,Garbage clearance
Kumaraswamy Layout,Street dogs at Kumaraswamy layout 8th cross 2nd ks layout
Kumaraswamy Layout,Street dogs at Kumaraswamy layout 8th cross 2nd ks layout
Kumaraswamy Layout,Street dogs at Kumaraswamy layout 8th cross 2nd ks layout
Kumaraswamy Layout,Street dogs at Kumaraswamy layout 8th cross 2nd ks layout
Kumaraswamy Layout,Street dogs at Kumaraswamy layout 8th cross 2nd ks layout
Kumaraswamy Layout,Street dogs at Kumaraswamy layout 8th cross 2nd ks layout
Kumaraswamy Layout,Street dogs at 8th cross 2nd stage Kumaraswamy layout
Marenahalli,-PROPERTY TAX 2018-2019
Byatarayanapura,Unabl to print receipt of Property Tax paid for the year 2018-19
Puttenahalli,Debris not cleared from road after borewell digging
K.R.Puram,Sound pollution
Kacharakanahalli,food vendors occupying footpaths and roads also
Vijay Nagar,Food restaurant serving alcohol
Ramamurthy Nagar,Driage near our house
Herohalli,Worst employees of bbmp in herohalli ward
Puttenahalli,Garbage collection
K.R.Puram,Problems of Road
Byatarayanapura,C D WORK IS NOT DONE PROPERLY
Vidyaranyapura,Removal of Fallen Tree Base
Uttarahalli,Street light not working
Vidyaranyapura,Removal of Fallen Tree Base
Jakkasandra,Blatant violation of setback rules.
Marathalli,Garbage Collection in my Street
Vidyaranyapura,Building violation
Yadiyuru,Dirty building
Vidyaranyapura,Building Violation by Neighbor
Vidyaranyapura,Building Violation by Neighbor
Vidyaranyapura,Building Violation by Neighbor
Vidyaranyapura,Building Violation by Neighbor
Vidyaranyapura,Building Violation by Neighbor
Vidyaranyapura,Building Violation by Neighbor
Lingarajapura,Renovation of Ward 49 Park
Puttenahalli,Debris not cleared after drilling borewell
Uttarahalli,No pakka road
Basavanapura,Road repair and new road
Marathalli,Unbearable Mosquitos
Devasandra,Drainage Problem
Ramamurthy Nagar,Immediate action required
Sunkenahalli,Street lights not working
Uttarahalli,Wrong property owner's name in property tax online portal
Doddanekkundi,Paid Property Tax
Ramamurthy Nagar,SULLAGE AND STORM WATER DRAIN REFURBISHMENT - ward no. 26 -BBMP-GPMS/CMT-20821
Ramamurthy Nagar,SULLAGE AND STORM WATER DRAIN REFURBISHMENT - ward no. 26
Ramamurthy Nagar,SULLAGE AND STORM WATER DRAIN REFURBISHMENT - ward no. 26
Ramamurthy Nagar,SULLAGE AND STORM WATER DRAIN REFURBISHMENT - ward no. 26
Banashankari Temple Ward,Garbage /SERIOUS HEALTH PROBLEM
Marathalli,Road in pathetic condition in Thubarahalli
J.P.Nagar,Street light on pole is not working
Vijinapura,Drainage has been blocked
Vijinapura,Drainage has been blocked
Mallasandra,Transaction failure
Aramane Nagar,Garbage
Aramane Nagar,Garbage on Main Road
Chikpete,Raise complaint against officer and his subordinates and dismiss from the jobs
Chikpete,Raise complaint against officer and his subordinates and dismiss from the jobs
Kengeri,Constructed the roof above our compound
Dommalur,Land encroachment with illegal construction over public property
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
J.P.Nagar,Dog has died in front our house
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
BTM Layout,dedries clearing
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER PIPE LINE LEFT UN ATTENDED & ALL ROADS HAVE BECOME WORST PL..
BTM Layout,dedries clearing
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Vasanthapura,ROADS DUG UP FOR LAYING CAUVERY WATER PIPE LAYING- WORK LEFT UN FINISHED
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER LINE WORKS LEFT UN ATTENDED AND DUE TO RAINS CONDITION IS WORST PL
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER PIPE LINE LEFT UN ATTENDED & ALL ROADS HAVE BECOME WORST PL..
BTM Layout,dedries clearing
Shankaramata,Asphalting at Ward no. 75-reg
Shankaramata,Asphalting at Ward no.75-reg
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER LINE WORKS LEFT UN ATTENDED AND DUE TO RAINS CONDITION IS WORST PL
J.P.Nagar,Dog has died in front our house
Vignana Nagar,Excess amount showing in Property tax for the year 18-19
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
Shettyhalli,Drainage System repair
Shankaramata,Asphalting at Ward no.75-reg
Shankaramata,Asphalting at Ward no. 75-reg
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER PIPE LINE LEFT UN ATTENDED & ALL ROADS HAVE BECOME WORST PL..
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER LINE WORKS LEFT UN ATTENDED AND DUE TO RAINS CONDITION IS WORST PL
Vignana Nagar,Excess amount showing in Property tax for the year 18-19
Shankaramata,Asphalting at Ward no.75-reg
Shankaramata,Asphalting at Ward no. 75-reg
Vasanthapura,ROADS DUG UP FOR LAYING CAUVERY WATER PIPE LAYING- WORK LEFT UN FINISHED
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
BTM Layout,dedries clearing
Vignana Nagar,Excess amount showing in Property tax for the year 18-19
Shettyhalli,Drainage System repair
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER PIPE LINE LEFT UN ATTENDED & ALL ROADS HAVE BECOME WORST PL..
Doddanekkundi,Requesting to install street light poles and street lights
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER LINE WORKS LEFT UN ATTENDED AND DUE TO RAINS CONDITION IS WORST PL
Shankaramata,Asphalting at Ward no. 75-reg
Shankaramata,Asphalting at Ward no.75-reg
BTM Layout,Online Property Tax - Error No katha details found. Please contact ARO
Vignana Nagar,Excess amount showing in Property tax for the year 18-19
Vasanthapura,ROADS DUG UP FOR LAYING CAUVERY WATER PIPE LAYING- WORK LEFT UN FINISHED
BTM Layout,dedries clearing
J.P.Nagar,Dog has died in front our house
Doddanekkundi,Requesting to install street light poles and street lights
Shettyhalli,Drainage System repair
Shettyhalli,Drainage System repair
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
Shankaramata,Asphalting at Ward no.75-reg
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER PIPE LINE LEFT UN ATTENDED & ALL ROADS HAVE BECOME WORST PL..
BTM Layout,Debris to be removed
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Sarvagna Nagar,Drainage blockage
Shankaramata,Asphalting at Ward no. 75-reg
Doddanekkundi,Requesting to install street light poles and street lights
J.P.Nagar,Dog has died in front our house
BTM Layout,dedries clearing
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER LINE WORKS LEFT UN ATTENDED AND DUE TO RAINS CONDITION IS WORST PL
Vasanthapura,ROADS DUG UP FOR LAYING CAUVERY WATER PIPE LAYING- WORK LEFT UN FINISHED
Sarvagna Nagar,Drainage blockage
Vignana Nagar,Excess amount showing in Property tax for the year 18-19
BTM Layout,dedries clearing
Sanjay Nagar,"Uncleared garbage on footpath at 5th Cross junction, Ist Main Road, Dollars Colony"
BTM Layout,Debris to be removed
Shankaramata,Asphalting at Ward no.75-reg
Shankaramata,Asphalting at Ward no. 75-reg
Sri Rammandira,Sanitary blockage in #24/1 4th cross Srirampura (Ward Srirammandira)
J.P.Nagar,Dog has died in front our house
Shettyhalli,Drainage System repair
Shettyhalli,Drainage System repair
BTM Layout,"Property Tax - For your new SAS 2016-17 Application : XXXXXX , No katha details found. Please contact ARO"
Doddanekkundi,Requesting to install street light poles and street lights
Vasanthapura,ROADS DUG UP FOR LAYING CAUVERY WATER PIPE LAYING- WORK LEFT UN FINISHED
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER LINE WORKS LEFT UN ATTENDED AND DUE TO RAINS CONDITION IS WORST PL
Vasanthapura,ROADS DUGUP FOR LAYING CAUVERY WATER PIPE LINE LEFT UN ATTENDED & ALL ROADS HAVE BECOME WORST PL..
Sarvagna Nagar,Drainage blockage
Sarvagna Nagar,Drainage blockage
Ejipura,Never ending road repair and damaged drainage pipes in Ejipura
Uttarahalli,setback issue with neighbour
Vijinapura,Requesting to install street light pole
Jalahalli,Drainage closing work not complete d
Jalahalli,Road damaged due to pipe irrigation
Jalahalli,Street light not working frequently
Jalahalli,Drainage work incomplete hence road damaged
Vijinapura,Illegal poultry & littering the surroundings
J.P.Nagar,Wet Bagbage Collection Problem In Our Lane
Horamavu,Encroachment and Blocking of Rain water passage cuasing flooding of water at Houses
Vasanthapura,some people left there dogs in our area
Ullalu,Neighbours tree causing trouble
Radhakrishna Temple,Excavation happening @ the end of NEW BEL road on the right hand side near lottegollahalli railway station
Jeevanbhima Nagar,MANHOLE WASTE LYING LYING ON ROAD PERMANENTLY
Sanjay Nagar,Dead Rat
Hampi Nagar,Footpath blocked by road side food vendor
Kumaraswamy Layout,Rain Water Rushing inside the House
Banasawadi,Damaged roads in ksthurinagar
Banasawadi,Illegal construction in 2nd D CROSS OMBR LAYOUT
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Sanjay Nagar,Sweeper Irregular and not collect the dust and garbage from home
Vignana Nagar,On Authorized construction on Garuda star field. Mahadevapura
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Sarakki,Piled up Dry leaves not getting cleared
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Varthur,Clearance of solid garbage and huge bushes from vacant site in Rajashree Layout behind house no.9
Muneshwara Nagar,Garbage
Sanjay Nagar,Sweeper Irregular and not collect the dust and garbage from home
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Varthur,Clearance of garbage and thick bushes from vacant sites in Rajashree Layouts
Chowdeshwari,Lift operator not attaended duty at 10am at bbmp complex Yeswanthpura causing problem to disabled person and senior citizen
Uttarahalli,Help on Road construction and garbage maintenance
Sanjay Nagar,Sweeper Irregular and not collect the dust and garbage from home
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Varthur,CLEARANCE OF GARBAGE AND BIG BUSHES FROM VACANT SITES
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Begur,Payment of Property Tax
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
Varthur,Clearance of garbage and thick bushes from vacant sites in Rajashree Layouts
Sanjay Nagar,Sweeper Irregular and not collect the dust and garbage from home
Ramamurthy Nagar,Leaving cow dunk and urine on road
Chowdeshwari,Lift operator not attaended duty at 10am at bbmp complex Yeswanthpura causing problem to disabled person and senior citizen
Ejipura,garbage clearance
Muneshwara Nagar,Garbage
K.R.Puram,Dumping waste in 7/1 land
Uttarahalli,Help on Road construction and garbage maintenance
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Vignana Nagar,On Authorized construction on Garuda star field. Mahadevapura
Varthur,Clearance of solid garbage and huge bushes from vacant site in Rajashree Layout behind house no.9
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
C.V.Raman Nagar,illegal contruction of house creating congestion on roads
Chowdeshwari,Lift operator not attaended duty at 10am at bbmp complex Yeswanthpura causing problem to disabled person and senior citizen
Ramamurthy Nagar,Leaving cow dunk and urine on road
Varthur,CLEARANCE OF GARBAGE AND BIG BUSHES FROM VACANT SITES
K.R.Puram,Dumping waste in 7/1 land
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Varthur,Clearance of garbage and thick bushes from vacant sites in Rajashree Layouts
HBR Layout,chemical spray for tree due to insect
Begur,Payment of Property Tax
Uttarahalli,Help on Road construction and garbage maintenance
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Vignana Nagar,On Authorized construction on Garuda star field. Mahadevapura
Muneshwara Nagar,Garbage
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Ramamurthy Nagar,Leaving cow dunk and urine on road
Begur,Payment of Property Tax
Chamrajpet,Vehicles problems
Chowdeshwari,Lift operator not attaended duty at 10am at bbmp complex Yeswanthpura causing problem to disabled person and senior citizen
Uttarahalli,Help on Road construction and garbage maintenance
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
K.R.Puram,Dumping waste in 7/1 land
Sanjay Nagar,Sweeper Irregular and not collect the dust and garbage from home
C.V.Raman Nagar,illegal contruction of house creating congestion on roads
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
HBR Layout,chemical spray for tree due to insect
Ramamurthy Nagar,Leaving cow dunk and urine on road
Ejipura,garbage clearance
C.V.Raman Nagar,illegal contruction of house creating congestion on roads
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Varthur,CLEARANCE OF GARBAGE AND BIG BUSHES FROM VACANT SITES
Ramamurthy Nagar,Public Drainage got Blocked
Varthur,Clearance of garbage and thick bushes from vacant sites in Rajashree Layouts
Ramamurthy Nagar,Leaving cow dunk and urine on road
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
HBR Layout,chemical spray for tree due to insect
C.V.Raman Nagar,illegal contruction of house creating congestion on roads
Ramamurthy Nagar,Public Drainage got Blocked
Shanthi Nagar,Water wastage on Brunton road
Rajarajeshwari Nagar,"Pipe broken, no one comes to resolve"
Begur,Payment of Property Tax
Varthur,Clearance of solid garbage and huge bushes from vacant site in Rajashree Layout behind house no.9
Ejipura,garbage clearance
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
HBR Layout,chemical spray for tree due to insect
Chamrajpet,Vehicles problems
Padmanabha Nagar,GARBAGE COLLECTION IN WARD NO. 182
Ramamurthy Nagar,Leaving cow dunk and urine on road
Rajaji Nagar,Drainage blocked
K.R.Puram,Dumping waste in 7/1 land
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Muneshwara Nagar,Garbage
Chamrajpet,Vehicles problems
Yeshwanthpur,Regarding of LIFT in BBMP complex Yeswanthapura
Yeshwanthpur,Regarding of LIFT problem in bbmp complex Yeswanthpura
Sanjay Nagar,Sweeper Irregular and not collect the dust and garbage from home
Vignana Nagar,On Authorized construction on Garuda star field. Mahadevapura
HBR Layout,chemical spray for tree due to insect
Ramamurthy Nagar,Public Drainage got Blocked
Begur,Payment of Property Tax
Sarakki,Piled up Dry leaves not getting cleared
Shanthi Nagar,Water wastage on Brunton road
C.V.Raman Nagar,illegal contruction of house creating congestion on roads
